stock_code,user_id,direction,executed_price,executed_quantity,original_quantity,unfilled_quantity,timestamp
CPEI,60504743839,buy,10.67,84200,84200,0,2023-06-15 13:32:47.120088
CPEI,78233375206,buy,10.67,539200,539200,0,2023-06-15 10:15:33.324189
CPEI,92816541204,buy,10.67,3200,52800,49600,2023-06-15 10:54:22.824131
CPEI,67986090156,sell,10.67,104600,104600,0,2023-06-15 14:24:03.381725
CPEI,94780611882,sell,10.67,55600,55600,0,2023-06-15 13:00:07.380046
CPEI,59962187984,sell,10.67,103500,103500,0,2023-06-15 14:23:59.346886
CPEI,39881448338,sell,10.67,102500,102500,0,2023-06-15 10:40:17.255869
CPEI,95689374416,sell,10.67,96000,96000,0,2023-06-15 14:07:09.544467
CPEI,73969189969,sell,10.67,944700,944700,0,2023-06-15 13:49:38.623660
CPEI,42223279783,sell,10.67,102500,102500,0,2023-06-15 14:48:12.538696
CPEI,58186379286,sell,10.67,48800,48800,0,2023-06-15 14:08:36.974847
CPEI,68493791533,sell,10.67,76800,76800,0,2023-06-15 09:51:50.836279
CPEI,50147786984,sell,10.67,516800,516800,0,2023-06-15 14:37:12.690869
CPEI,17568198236,sell,10.67,99400,99400,0,2023-06-15 14:51:52.198227
CPEI,98647827290,sell,10.67,957600,957600,0,2023-06-15 11:10:58.901073
CPEI,36688478955,sell,10.67,97000,97000,0,2023-06-15 10:19:57.276761
CPEI,88237060993,sell,10.67,53800,53800,0,2023-06-15 10:31:07.607845
CPEI,82947731910,sell,10.67,40800,40800,0,2023-06-15 13:22:40.073400
CPEI,46210084986,sell,10.67,47500,47500,0,2023-06-15 14:46:59.495963
CPEI,56684963926,sell,10.67,95300,95300,0,2023-06-15 10:38:33.438466
CPEI,80554105020,sell,10.67,71100,71100,0,2023-06-15 14:10:22.479373
CPEI,75651431204,sell,10.67,1020600,1020600,0,2023-06-15 09:30:35.060512
CPEI,26259104471,sell,10.67,773200,773200,0,2023-06-15 10:51:46.207388
CPEI,43428923097,sell,10.67,99100,99100,0,2023-06-15 13:02:01.251248
CPEI,12223120086,sell,10.67,999700,999700,0,2023-06-15 14:51:06.063923
CPEI,42388639808,sell,10.67,197900,197900,0,2023-06-15 09:33:36.552772
CPEI,30123951506,sell,10.67,94800,94800,0,2023-06-15 11:25:25.991022
CPEI,85646402456,sell,10.67,99000,99000,0,2023-06-15 14:42:25.659142
CPEI,17692596259,sell,10.67,885000,885000,0,2023-06-15 09:52:57.702782
CPEI,98901038804,sell,10.67,100300,100300,0,2023-06-15 13:02:26.332127
CPEI,39638094206,sell,10.67,1948800,1948800,0,2023-06-15 14:20:34.785969
CPEI,13807252320,sell,10.67,38500,38500,0,2023-06-15 14:16:54.530213
CPEI,25656576619,sell,10.67,1842400,1842400,0,2023-06-15 14:31:17.919480
CPEI,58287828694,sell,10.67,908800,908800,0,2023-06-15 10:32:08.189570
IEEI,74502969810,buy,11.0,57000,57000,0,2023-06-15 11:25:06.456478
IEEI,38946804573,buy,11.0,86900,86900,0,2023-06-15 10:26:01.827436
IEEI,81728979997,buy,11.0,60100,60100,0,2023-06-15 09:53:36.778275
IEEI,80879390363,buy,11.0,1472000,1472000,0,2023-06-15 10:14:17.031484
IEEI,57737685178,buy,11.0,565300,565300,0,2023-06-15 13:16:32.128594
IEEI,58976630584,buy,11.0,90800,90800,0,2023-06-15 10:42:33.096557
IEEI,92156654766,buy,11.0,1371600,1371600,0,2023-06-15 14:38:52.481644
IEEI,38030669385,buy,11.0,934000,934000,0,2023-06-15 10:04:13.797255
IEEI,79233871795,buy,11.0,74600,74600,0,2023-06-15 13:06:46.199969
IEEI,93723896498,buy,11.0,1103100,1103100,0,2023-06-15 13:14:54.413582
IEEI,34584060674,buy,11.0,111000,111000,0,2023-06-15 14:44:22.357015
IEEI,86769028143,buy,11.0,100500,100500,0,2023-06-15 11:23:32.007416
IEEI,19746182998,buy,11.0,859200,859200,0,2023-06-15 09:58:25.945656
IEEI,20626437040,buy,11.0,91500,91500,0,2023-06-15 11:24:13.021744
IEEI,70182749572,buy,11.0,66000,66000,0,2023-06-15 13:31:09.750722
IEEI,70421281290,buy,11.0,171300,171300,0,2023-06-15 14:29:25.296341
IEEI,92873967192,buy,11.0,55500,55500,0,2023-06-15 09:49:50.342206
IEEI,51680020844,buy,11.0,87600,87600,0,2023-06-15 11:02:20.721910
IEEI,50612886170,buy,11.0,59800,59800,0,2023-06-15 10:08:50.131637
IEEI,10795720105,buy,11.0,57200,57200,0,2023-06-15 10:13:24.005836
IEEI,58287828694,buy,11.0,855800,855800,0,2023-06-15 10:57:17.904010
IEEI,13502770246,buy,11.0,1509900,1509900,0,2023-06-15 10:42:51.912947
IEEI,46409630207,buy,11.0,38300,38300,0,2023-06-15 13:26:25.598721
IEEI,94689336944,buy,11.0,93200,93200,0,2023-06-15 14:29:46.418432
IEEI,85916747791,buy,11.0,59400,59400,0,2023-06-15 13:54:37.414896
IEEI,85362876838,buy,11.0,50600,50600,0,2023-06-15 09:34:14.301738
IEEI,26664066972,buy,11.0,59100,59100,0,2023-06-15 10:56:59.703621
IEEI,42124384526,buy,11.0,250500,250500,0,2023-06-15 09:40:40.300823
IEEI,18112277402,buy,11.0,60100,60100,0,2023-06-15 13:05:32.325081
IEEI,94533000623,buy,11.0,168500,168500,0,2023-06-15 09:43:28.858126
IEEI,59350711972,buy,11.0,44800,44800,0,2023-06-15 09:46:43.697430
IEEI,24570243197,buy,11.0,62800,62800,0,2023-06-15 09:57:02.770005
IEEI,51118232797,buy,11.0,136500,136500,0,2023-06-15 10:11:31.101152
IEEI,52519967504,buy,11.0,193900,193900,0,2023-06-15 13:09:38.504505
IEEI,38230792749,buy,11.0,60900,60900,0,2023-06-15 13:35:48.523307
IEEI,80109027149,buy,11.0,861600,861600,0,2023-06-15 10:55:19.466410
IEEI,92435351068,buy,11.0,569300,569300,0,2023-06-15 11:02:49.461427
IEEI,91277218944,buy,11.0,198100,198100,0,2023-06-15 13:10:33.488247
IEEI,57427282148,buy,11.0,85700,85700,0,2023-06-15 13:52:13.903926
IEEI,43397760958,buy,11.0,937900,937900,0,2023-06-15 14:37:33.249713
IEEI,24473730972,buy,11.0,63500,63500,0,2023-06-15 09:32:22.868722
IEEI,91408376139,buy,11.0,97400,97400,0,2023-06-15 10:03:43.207748
IEEI,52005499653,buy,11.0,80300,80300,0,2023-06-15 10:41:40.799529
IEEI,33116914878,buy,11.0,239900,239900,0,2023-06-15 10:48:27.748881
IEEI,14065196934,buy,11.0,56900,56900,0,2023-06-15 13:48:49.141871
IEEI,81366442398,buy,11.0,58800,58800,0,2023-06-15 10:19:29.376309
IEEI,22216456756,buy,11.0,63000,63000,0,2023-06-15 10:28:28.811316
IEEI,23293203471,buy,11.0,94700,94700,0,2023-06-15 11:04:17.466868
IEEI,11899768841,buy,11.0,93300,93300,0,2023-06-15 10:34:40.247710
IEEI,18045521502,buy,11.0,1132000,1132000,0,2023-06-15 10:38:36.091665
IEEI,66139522164,buy,11.0,178900,178900,0,2023-06-15 10:45:24.532964
IEEI,26663101742,buy,11.0,88600,88600,0,2023-06-15 11:23:29.445304
IEEI,98005385043,buy,11.0,72300,72300,0,2023-06-15 13:14:28.884762
IEEI,37296492198,buy,11.0,94600,94600,0,2023-06-15 10:32:49.673870
IEEI,96570965461,buy,11.0,60900,60900,0,2023-06-15 13:37:12.972457
IEEI,16428179942,buy,11.0,1003900,1003900,0,2023-06-15 14:00:02.591921
IEEI,83274559462,buy,11.0,1953900,1953900,0,2023-06-15 14:39:08.493014
IEEI,83071271966,buy,11.0,547500,547500,0,2023-06-15 10:17:05.084480
IEEI,94925574709,buy,11.0,910500,910500,0,2023-06-15 14:57:32.377964
